SUID,BRENDA ID,CAZY Name,Class,Description,EC,Family,Gene Name,Genus,GO Term,HMP Body Site,HMP Oxygen,InterPro (Domain),InterPro (Family),InterPro (Homologous Superfamily),InterPro (Other),KEGG ID,Kingdom,name,NCBI IDs,Order,Organism,P01 gDNA,PATRIC ID,PDB,PFAM,Phylum,selected,Sequence Length,Sequence Source,shared name,Species,STRING ID,Superkingdom,Swissprot Description,Taxonomy ID,UniProt Annotation Status
2350796,,,Clostridia,Glucuronyl hydrolase ,,Clostridiaceae,CYK68_11325,Clostridium,0016787 hydrolase activity,Skin|Gastrointestinal tract,"Anaerobe,Obligate anaerobe",,IPR010905,IPR008928|IPR012341,,,,A0A317TB24,EMBL-CDS:PWX08094.1,Clostridiales,Clostridium perfringens.,FALSE,,,PF07470,Firmicutes,FALSE,396,BLASTHIT,A0A317TB24,Clostridium perfringens,,Bacteria,,1502,TrEMBL
2350797,,,Clostridia,Putative unsaturated glucuronyl hydrolase ,,Clostridiaceae,HMPREF3222_00095,Clostridium,0016787 hydrolase activity,Skin|Gastrointestinal tract,"Anaerobe,Obligate anaerobe",,IPR010905,IPR008928|IPR012341,,,,A0A133NEZ1,GI:985331285|GI:985496957|EMBL-CDS:KXA14849.1|REFSEQ:WP_060794376.1,Clostridiales,Clostridium perfringens.,FALSE,fig|1502.174.peg.97,,PF07470,Firmicutes,FALSE,396,BLASTHIT,A0A133NEZ1,Clostridium perfringens,,Bacteria,,1502,TrEMBL
2350814,,,Clostridia,Unsaturated glucuronyl hydrolase ,3.2.1.- {ECO:0000313|EMBL:EEQ60322.1},,CBFG_04034,,0016798 hydrolase activity  acting on glycosyl bonds,Gastrointestinal tract,,,IPR010905,IPR008928|IPR012341,,,,C5EQM8,GI:239520456|GI:495998376|EMBL-CDS:EEQ60322.1|REFSEQ:WP_008722955.1,Clostridiales,Clostridiales bacterium 1_7_47FAA.,TRUE,,,PF07470,Firmicutes,FALSE,396,BLASTHIT,C5EQM8,Clostridiales bacterium 1_7_47FAA,457421.CBFG_04034,Bacteria,,457421,TrEMBL
2350819,,,Clostridia,Glycosyl hydrolase| family 88 ,3.2.1.- {ECO:0000313|EMBL:EEG54664.1},Lachnospiraceae,CLOSTASPAR_03265,Lachnoclostridium,0016798 hydrolase activity  acting on glycosyl bonds,Gastrointestinal tract,Obligate anaerobe,,IPR010905,IPR008928|IPR012341,,,,C0D1X6,GI:225044418|GI:494986471|EMBL-CDS:EEG54664.1|REFSEQ:WP_007712493.1,Clostridiales,[Clostridium] asparagiforme DSM 15981.,TRUE,,,PF07470,Firmicutes,FALSE,396,BLASTHIT,C0D1X6,[Clostridium] asparagiforme DSM 15981,,Bacteria,,518636,TrEMBL
2350821,,,Clostridia,Uncharacterized protein ,,Lachnospiraceae,HMPREF9470_04392,Lachnoclostridium,0003824 catalytic activity,Gastrointestinal tract,Obligate anaerobe,,IPR010905,IPR008928|IPR012341,,,,A0A0J9BU80,GI:891185247|EMBL-CDS:KMW16338.1,Clostridiales,[Clostridium] citroniae WAL-19142.,FALSE,fig|742734.4.peg.4706,,PF07470,Firmicutes,FALSE,395,BLASTHIT,A0A0J9BU80,[Clostridium] citroniae WAL-19142,,Bacteria,,742734,TrEMBL
2350825,,,Clostridia,Glucuronyl hydrolase ,,Lachnospiraceae,ADH76_26565,Lachnoclostridium,0016787 hydrolase activity,Gastrointestinal tract,Anaerobe,,IPR010905,IPR008928|IPR012341,,,,A0A227LBW7,GI:1217069407|GI:1045867684|EMBL-CDS:OXE64446.1|REFSEQ:WP_065550795.1,Clostridiales,[Clostridium] clostridioforme.,FALSE,,,PF07470,Firmicutes,FALSE,401,BLASTHIT,A0A227LBW7,[Clostridium] clostridioforme,,Bacteria,,1531,TrEMBL
2350826,,,Clostridia,Uncharacterized protein ,,Lachnospiraceae,HMPREF9469_05437,Lachnoclostridium,0003824 catalytic activity,Gastrointestinal tract,Obligate anaerobe,,IPR010905,IPR008928|IPR012341,,,,G5HS75,GI:354810970|EMBL-CDS:EHE95606.1,Clostridiales,[Clostridium] citroniae WAL-17108.,TRUE,fig|742733.3.peg.5578,,PF07470,Firmicutes,FALSE,395,BLASTHIT,G5HS75,[Clostridium] citroniae WAL-17108,,Bacteria,,742733,TrEMBL
2350834,,GH88,Clostridia,Uncharacterized protein ,,Lachnospiraceae,CLOBOL_05098,Lachnoclostridium,0003824 catalytic activity,Gastrointestinal tract,Anaerobe,,IPR010905,IPR008928|IPR012341,,,,A8RYD9,GI:158436789|GI:488632859|EMBL-CDS:EDP14556.1|REFSEQ:WP_002569543.1,Clostridiales,Clostridium bolteae  (strain ATCC BAA-613 / WAL 16351),TRUE,,,PF07470,Firmicutes,FALSE,401,BLASTHIT,A8RYD9,[Clostridium] bolteae ATCC BAA-613,411902.CLOBOL_05098,Bacteria,,411902,TrEMBL
2350839,,,Erysipelotrichia,Glycosyl hydrolase| family 88 ,3.2.1.- {ECO:0000313|EMBL:EFY09044.1},Erysipelotrichaceae,HMPREF0357_11151,Erysipelothrix,0016798 hydrolase activity  acting on glycosyl bonds,Skin,Aerobe,,IPR010905,IPR008928|IPR012341,,,,E7FVX4,GI:322463850|GI:489871550|EMBL-CDS:EFY09044.1|REFSEQ:WP_003775090.1,Erysipelotrichales,Erysipelothrix rhusiopathiae ATCC 19414.,FALSE,,,PF07470,Firmicutes,FALSE,398,BLASTHIT,E7FVX4,Erysipelothrix rhusiopathiae ATCC 19414,,Bacteria,,525280,TrEMBL
2350840,,,Bacilli,Glucuronyl hydrolase ,,Streptococcaceae,SITYG_16290,Streptococcus,0016787 hydrolase activity,Airways|Skin|Oral,"Anaerobe,Not Specified",,IPR010905,IPR008928|IPR012341,,,,A0A1L7MWV6,GI:1109662585|EMBL-CDS:BAW17608.1,Lactobacillales,Streptococcus intermedius.,FALSE,,,PF07470,Firmicutes,FALSE,396,BLASTHIT,A0A1L7MWV6,Streptococcus intermedius,,Bacteria,,1338,TrEMBL
